order_year_month,num_orders,gross_revenue,freight_revenue,total_revenue,avg_order_value
2017-01,16,6237.53,907.4,7144.93,446.56
2017-02,10,6989.03,618.96,7607.99,760.8
2017-03,10,5077.06,487.27,5564.33,556.43
2017-04,12,7356.02,885.25,8241.27,686.77
2017-05,6,3352.89,206.42,3559.31,593.22
2017-06,10,4368.77,567.93,4936.7,493.67
2017-07,12,6587.95,743.09,7331.04,610.92
2017-08,12,7334.23,697.69,8031.92,669.33
2017-09,10,5409.1,466.71,5875.81,587.58
2017-10,16,9552.21,1029.96,10582.17,661.39
2017-11,13,6562.29,780.49,7342.78,564.83
2017-12,17,8912.71,885.19,9797.9,576.35
2018-01,18,11233.09,1086.96,12320.05,684.45
2018-02,9,5501.92,552.56,6054.48,672.72
2018-03,11,3860.8,594.39,4455.19,405.02
2018-04,12,8442.46,848.52,9290.98,774.25
2018-05,14,11360.58,759.99,12120.57,865.76
2018-06,14,8822.11,789.08,9611.19,686.51
2018-07,12,7027.79,764.23,7792.02,649.33
2018-08,16,8302.51,1117.52,9420.03,588.75
2018-09,9,5544.38,746.3,6290.68,698.96
2018-10,9,5117.54,711.42,5828.96,647.66
2018-11,11,7366.85,573.95,7940.8,721.89
